CENTRE NAME,SERVICE CODE,PHONE NUMBER,LATITUDE,LONGITUDE,SERVICE DAY,HALL,CAMPUS,APOSTLE,Apostleship
ACCE,0041,233540597389,5.6584395,-0.1613319,FRIDAY,UPSA,ACCE,Baidoo,Paul Baidoo
PANTANG PRINCE JEFF,0260,233542985620,0,0,THURSDAY,PANTANG NTC,PANTANG NTC,Baidoo,Paul Baidoo
VVU CAMPUS J. J NORTEY,0210,233543137199,5.7987118,-0.1199208,THURSDAY,VALLEY VIEW CAMPUS,VALLEY VIEW UNIVERSITY,Baidoo,Paul Baidoo
UPSA SERVANTS,0546,233543642836,5.660336,0,WEDNESDAY,UPSA,UPSA PRESTIGE,Baidoo,Paul Baidoo
UPSA AGAPE FOUNTAIN COURT,0474,233543904681,5.663203,-0.163663,THURSDAY,UPSA,UPSA AGAPE,Baidoo,Paul Baidoo
UPSA AYELEY DOWN,0473,233545266545,5.658438,-0.164555,THURSDAY,UPSA,UPSA AYELE,Baidoo,Paul Baidoo
UPSA MADINA FIRESTONE SEED HOUSE,0362,233548403607,5.6682483,-0.1722246,WEDNESDAY,UPSA,UPSA FIRESTONE,Baidoo,Paul Baidoo
UPSA (AYELE),0042,233548692993,5.658438,-0.164555,THURSDAY,UPSA,UPSA AYELE,Baidoo,Paul Baidoo
ACC ASHESI 5,AC0009,233549169979,5.757939,-0.220131,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
UPSA NEW MARKET,0096,233549706969,5.674556,-0.161506,THURSDAY,UPSA,UPSA FREEMAN,Baidoo,Paul Baidoo
ACC ASHESI 3,AC0007,233551132919,5.759843,-0.220176,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
UPSA FRUITFUL,0161,233552386593,5.659692,-0.164996,THURSDAY,UPSA,UPSA AGAPE,Baidoo,Paul Baidoo
UPSA GERMAN HOSTEL,0255,233552591830,5.663203,-0.1636632,THURSDAY,UPSA,UPSA AGAPE,Baidoo,Paul Baidoo
UPSA HOSTEL 1,0238,233554236037,5.6589,-0.1714,THURSDAY,UPSA,UPSA HOSTEL,Baidoo,Paul Baidoo
PANTANG AMOAH HOSTEL,0383,233554949477,0,0,THURSDAY,PANTANG NTC,PANTANG NTC,Baidoo,Paul Baidoo
UPSA FREEMAN HOSTEL,0093,233555592630,5.667753,-0.169285,WEDNESDAY,UPSA,UPSA FREEMAN,Baidoo,Paul Baidoo
PANTANG NIGHTINGALE,0450,233556549956,0,0,THURSDAY,PANTANG NTC,PANTANG NTC,Baidoo,Paul Baidoo
PANTANG,0039,233558771476,0,0,THURSDAY,PANTANG NTC,PANTANG NTC,Baidoo,Paul Baidoo
UPSA AYELEY LISTER HOTEL,0416,233570642409,5.674556,-0.161506,THURSDAY,UPSA,UPSA AYELE,Baidoo,Paul Baidoo
ACC ASHESI 4,AC0008,233573692120,5.45359,-0.1307,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
UPSA AYELE EAST,0254,233576688397,5.658438,-0.164555,THURSDAY,UPSA,UPSA AYELE,Baidoo,Paul Baidoo
UPSA MADINA ESTATE QUEEN OF PEACE,0377,233577096091,5.6752714,-0.1635933,THURSDAY,UPSA,UPSA RAWLINGS CIRCLE,Baidoo,Paul Baidoo
UPSA HOSTEL 3,0408,233577328217,5.6589,-0.1714,THURSDAY,UPSA,UPSA HOSTEL,Baidoo,Paul Baidoo
ACC ASHESI 11,AC0125,233592497690,5.761694,-0.219751,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
ACC ASHESI 9,AC0123,233592497695,5.762838,-0.219334,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
ACC ASHESI 10,AC0124,233592497711,5.7648471,-0.218341,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
ACC ASHESI 7,AC0121,233592497715,5.753933,-0.209057,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
ACC ASHESI 8,AC0122,23354716601504,5.762838,-0.219334,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
GIJ,0046,0,0,0,THURSDAY,GIJ,GIJ/NAFTI,Baidoo,Paul Baidoo
